2019-09-11 19:28:33,b'RT @pavliks_com: A Microsoft Teams for Linux Client Is Officially in the Works - WinBuzzer https://t.co/GAWrUvbQ9Z\n#Microsoft #MicrosoftTea\xe2\x80\xa6',515
2019-09-11 19:25:02,b'A Microsoft Teams for Linux Client Is Officially in the Works - WinBuzzer https://t.co/GAWrUvbQ9Z\n#Microsoft\xe2\x80\xa6 https://t.co/WOvgfrh8WI',336
2019-09-11 19:20:04,b'Microsoft Will Host a Business Applications Virtual Launch Event next Month - WinBuzzer https://t.co/ooMCVQY74J\xe2\x80\xa6 https://t.co/AVnYzWjuld',668
2019-09-11 18:47:15,"b'Great quote for all disruptive tech companies to hear - \xe2\x80\x9cWhen your technology changes the world, you bear a respons\xe2\x80\xa6 https://t.co/TI3Y5yCvPc'",323
2019-09-11 18:32:30,b'\xf0\x9f\x92\xbb\xf0\x9f\x91\xa8\xe2\x80\x8d\xf0\x9f\x94\xa7Leverage your existing #PowerShell skills to define cross-platform system configuration requirements\xe2\x80\xa6 https://t.co/dEpwZShQby',4215
2019-09-11 17:25:04,b'A Microsoft Teams for Linux Client Is Officially in the Works - WinBuzzer https://t.co/95ObSemnSQ\n#Microsoft\xe2\x80\xa6 https://t.co/7aZxVh3EuI',668
2019-09-11 17:20:04,b'Microsoft Will Host a Business Applications Virtual Launch Event next Month - WinBuzzer https://t.co/fFXld5mwu7\xe2\x80\xa6 https://t.co/94e9MAsHHO',336
2019-09-11 16:18:54,b'Top boy and girl today!! Smashed it! \xf0\x9f\x92\xaa\xf0\x9f\x8f\xbc#MSFT https://t.co/9A8KZ9zTN5',858
2019-09-11 15:35:05,"b""'Microsoft The Musical' Is The Geekiest Tribute To The Tech Giant's History - Mashable India\xe2\x80\xa6 https://t.co/2Fx6LXFXyq""",668
2019-09-11 15:30:36,b'Comparing Bull/Bear Strength:\nPrice to daily EMA50:\n\n  #NDX  2.2%\n  #SPX  2.11%\n  #DJI  2.31%\n\n  #AMZN  -0.52%\xe2\x80\xa6 https://t.co/2zP1EwqTJ9',396
2019-09-11 15:16:39,b'AZ-500: Microsoft Azure Security Technologies Study Guide is now available \n\nhttps://t.co/oXRDZOntcS\n\n#MSFT #Azure\xe2\x80\xa6 https://t.co/XwGDOU5u7U',7744
2019-09-11 13:35:07,"b""'Microsoft The Musical' Is The Geekiest Tribute To The Tech Giant's History - Mashable India\xe2\x80\xa6 https://t.co/xLilr9dFt4""",336
2019-09-11 10:30:33,b'#AAPL #MSFT #GOOGL and #AVGO Comparison after yesterdays event\n\nDraw your own conclusions\n\n#Stocks involve risk\nThi\xe2\x80\xa6 https://t.co/j4VxX1jGGZ',485
2019-09-11 10:30:14,b'My blog: Understanding Microsoft AppSource and Dynamics 365 #CRM #msft https://t.co/Hs95qw3Gh5 https://t.co/GkzFGk7ju3',13728
2019-09-11 07:54:03,"b'RT @dagautier: #IHAI19\nTime to do something, isn\xe2\x80\x99t it ?\n\n#MedTech #AI #NLP #ProjectEmpoweredMD #MSFT https://t.co/ufsrWMhfgE'",2697
2019-09-11 07:43:53,"b'#IHAI19\nTime to do something, isn\xe2\x80\x99t it ?\n\n#MedTech #AI #NLP #ProjectEmpoweredMD #MSFT https://t.co/ufsrWMhfgE'",1946
2019-09-11 07:26:06,b'RT @samuelmcneill: Do you need to manage multiple #Intune tenants? Spent time making perfect configurations in a dev tenant but need to tak\xe2\x80\xa6',241
2019-09-11 07:02:33,b'Do you need to manage multiple #Intune tenants? Spent time making perfect configurations in a dev tenant but need t\xe2\x80\xa6 https://t.co/9BKwtH8m5i',2667
2019-09-11 05:58:45,b'RT @dilbolz: Technology is always impressing me ! \n\nAI technology \xe2\x9d\xa4\xef\xb8\x8f\n\nMicrosoft Envision Forum 2019 \n\n#MSFT #MicrosoftLife \n\n@avishkamusic\xe2\x80\xa6',668
2019-09-11 05:55:22,b'Technology is always impressing me ! \n\nAI technology \xe2\x9d\xa4\xef\xb8\x8f\n\nMicrosoft Envision Forum 2019 \n\n#MSFT #MicrosoftLife\xe2\x80\xa6 https://t.co/fPq8A82ybU',1131
2019-09-11 05:15:00,b'@MarkDice $aapl is a fashion brand ... $msft in an integral part of business enterprise ... their lies the differen\xe2\x80\xa6 https://t.co/iJipFyOlAO',159
2019-09-11 04:55:49,b'@ItsReallyNick @Mandiant @SElovitz So you prevent for #BlueKeep #DejaBlue and #Ransomware and raise the risk for\xe2\x80\xa6 https://t.co/wLMxtywKJi',33
2019-09-11 02:33:19,b'RT @NicoleDenil: Thanks @Bruno_dafactory for presenting your amazing #NexxtLevel Smart home solution at Latin America Channels Forum #MSFT\xe2\x80\xa6',50
2019-09-11 00:30:01,"b'For some of us #MSFT fan-ployees, absence does make the heart grow fonder. Good to see you Clippy! https://t.co/KnXZQ1q9Pe'",178
2019-09-10 23:32:16,b'RT @WGA_CONSULTING: Revenue generated each hour:\n#Amazon $29.0 million per hour\n#Apple     $24.6 million per hour\n#Google   $17.8 million p\xe2\x80\xa6',1354
2019-09-10 22:55:07,b'@HumanProgress #Marx could not anticipate that workers in a century plus will become partners in firms like #MSFT\xe2\x80\xa6 https://t.co/m6Dym0Zapu',2422
2019-09-10 22:11:56,b'#Autochartist #MSFT #RisingWedge #Bearish \nMicrosoft Corporation is heading towards the support line of a Rising We\xe2\x80\xa6 https://t.co/D5bXgZVPPl',11563
2019-09-10 21:53:28,"b'For some of us #MSFT fan-ployees, absence does make the heart grow fonder. Good to see you Clippy! #MSFTAdvocate https://t.co/bPkTpTeFBY'",113
2019-09-10 20:50:38,b'RT @cbronline: Microsoft Rolls Out Automated Office 365 Incident Response Tools https://t.co/sLNXsMcICQ #office365 #cybersecurity #msft #ad\xe2\x80\xa6',2887
2019-09-10 20:34:54,b'$MSFT finds buyers at key support level: https://t.co/SDHbsYfyrp\nSentiment: Bearish #MSFT #Microsoft',216
2019-09-10 17:04:20,b'Did apple just swagger jack msft keynote message. \xe2\x80\x9cWe develop tech that empowers people\xe2\x80\x9d wow #apple #msft',106
